down in the dumps	deprimiert|niedergeschlagen|traurig|bedrückt|frustriert
keeping all balls in the air	alle Bälle in der Luft halten|alle Aufgaben im Blick haben|alles unter Kontrolle haben|alles im Griff haben
knocks it out of the park	eine großartige Leistung erbringen|einen Volltreffer landen|einen grandiosen Erfolg haben|eine hervorragende Leistung erzielen
put all your eggs in one basket	alles auf eine Karte setzen|alles auf ein Pferd setzen|alles riskieren, indem man nur eine Möglichkeit verfolgt
think outside the box	kreativ denken|unorthodox denken|neue Wege gehen|über den Tellerrand schauen
calls a spade a spade	etwas beim Namen nennen|klare Worte sprechen|direkt sagen, was man denkt|kein Blatt vor den Mund nehmen
dead tired	hundemüde|todmüde|völlig erschöpft|fix und fertig|am Ende sein
fell apart	zusammenbrechen|den Halt verlieren|sich auflösen|zerbrechen|sich nicht mehr im Griff haben
pass with flying colors	mit Bravour bestehen|mit Auszeichnung bestehen|sehr erfolgreich abschneiden|eine hervorragende Leistung erbringen
under the weather	sich schlapp fühlen|sich unwohl fühlen|krank sein|nicht auf der Höhe sein|angeschlagen sein
get a word in edgewise	zu Wort kommen|zu Wort kommen dürfen|zu Wort kommen können|etwas sagen können|etwas einwerfen können
spills the beans	ausplaudern|verraten|ein Geheimnis ausplaudern|ein Geheimnis verraten
face the music	die Konsequenzen tragen|müssen für seine Fehler geradestehen|für seine Fehler einstehen müssen|mit den Konsequenzen leben müssen
over the moon	überglücklich|begeistert|aus dem Häuschen sein|vor Freude ausflippen
to pull it off	etwas schaffen|etwas erreichen|etwas erfolgreich abschließen|etwas bewältigen
keep their eyes on the ball	sich auf das Wesentliche konzentrieren|sich auf das Ziel fokussieren|sich auf das Wichtigste konzentrieren
speaks with a forked tongue	lügt|redet mit gespaltener Zunge|sagt nicht die Wahrheit|ist unehrlich|ist doppelzüngig
bite the bullet	sich zusammenreißen|sich überwinden|etwas Unangenehmes tun müssen|den sauren Apfel beißen müssen
on it like a crutch	"on it like a crutch means relying heavily on something or someone. 

figurative translation: sich stark auf etwas/jemanden verlassen"
take everything he says with a grain of salt	seine Aussagen mit Vorsicht genießen|seine Aussagen kritisch betrachten|seine Aussagen hinterfragen|seine Aussagen nicht für bare Münze nehmen
out of left field	unerwartet|überraschend|unvorhersehbar|aus heiterem Himmel|aus dem Nichts
sink or swim	entweder man schafft es oder man scheitert|alles oder nichts|entweder man schwimmt oder man geht unter|entweder man besteht oder man fällt durch
sour grapes	schlechter Verlierer sein|nur aus Neid handeln|nur aus Missgunst handeln|nur aus Frust handeln
wait and see	abwarten und sehen|abwarten, wie es sich entwickelt|sich überraschen lassen|sich gedulden und schauen, was passiert
silver bullet	Lösung|Wundermittel|Allheilmittel|Patentlösung
cut the mustard	to perform satisfactorily|to meet expectations|to do a good job|to succeed
a catch	eine tolle Partie|ein toller Fang|ein Gewinn|ein Glücksfall
beat around the bush	um den heißen Brei herumreden|nicht direkt auf den Punkt kommen|sich nicht klar ausdrücken
like a fish out of water	sich unwohl fühlen|sich fremd fühlen|sich nicht zurechtfinden|sich nicht eingewöhnt haben
burn the candle at both ends	sich überarbeiten|sich verausgaben|sich zu viel zumuten|sich überfordern
chew the fat	sich unterhalten|plaudern|sich austauschen|sich über Belanglosigkeiten unterhalten
bury the hatchet	sich versöhnen|den Streit beilegen|den Konflikt begraben|sich aussöhnen|Frieden schließen
bark up the wrong tree	sich auf dem Holzweg befinden|sich im Irrtum befinden|einen Fehler machen|eine falsche Fährte verfolgen
pick myself up by my bootstraps	sich selbst wieder auf die Beine bringen|sich selbst wieder motivieren|sich selbst wieder aufrichten|sich selbst wieder ermutigen
pie in the sky	etwas, das sehr unwahrscheinlich ist|etwas, das unrealistisch ist|etwas, das zu schön ist, um wahr zu sein
Pandora's box	eine Büchse der Pandora öffnen|eine Lawine von Problemen auslösen|eine unerwartete Flut von Schwierigkeiten auslösen
to play it by ear	etwas spontan entscheiden|etwas improvisieren|etwas aus dem Bauch heraus entscheiden
through the wringer	jemanden hart rannehmen|jemanden gründlich prüfen|jemanden auf Herz und Nieren prüfen|jemanden auf die Probe stellen
you have to break a few eggs to make an omelette	Man muss Fehler machen, um etwas Neues zu lernen|Ohne Fleiß kein Preis|Ohne Risiko kein Gewinn|Man muss Opfer bringen, um Erfolg zu haben
a big softie	ein Weichei|ein Sensibelchen|ein Warmduscher
drop the ball	versagen|einen Fehler machen|einen Fehler begehen|einen Fehler machen, der schwerwiegende Konsequenzen hat
to play second fiddle	to take a subordinate role|to be less important|to be in a less favorable position|to be in a supporting role
