down in the dumps	in den Müllkippen|in den Mülltonnen|in den Abfallbehältern|in den Abfallgruben
keeping all balls in the air	alle Bälle in der Luft halten
knocks it out of the park	schlägt es aus dem Park|haut es aus dem Park|treibt es aus dem Park heraus
put all your eggs in one basket	alle Eier in einen Korb legen|alle Eier in einen Korb setzen|alle Eier in einen Korb tun
think outside the box	außerhalb der Box denken
calls a spade a spade	das Kind beim Namen nennen|die Dinge beim Namen nennen|einen Spaten einen Spaten nennen
dead tired	totmüde|todmüde|hundemüde|kaputt
fell apart	auseinandergefallen|zerfallen|auseinander gebrochen|kaputt gegangen|kaputt gemacht
pass with flying colors	mit fliegenden Fahnen bestehen
under the weather	unter dem Wetter|unter dem Einfluss des Wetters|krank|unwohl|angeschlagen|nicht ganz auf der Höhe|nicht ganz fit|nicht ganz gesund|nicht ganz bei Kräften|nicht ganz auf Zack|nicht ganz auf der Höhe sein|nicht ganz fit sein|nicht ganz gesund sein|nicht ganz bei Kräften sein|nicht ganz auf Zack sein
get a word in edgewise	ein Wort dazwischen bekommen|ein Wort dazwischen bringen|ein Wort dazwischen schieben
spills the beans	die Bohnen verschütten|die Bohnen ausplaudern|das Geheimnis verraten|auspacken
face the music	der Musik ins Auge sehen|sich der Musik stellen|der Musik gegenüberstehen|sich der Musik stellen müssen
over the moon	über dem Mond|über dem Mond sein|überglücklich sein|sehr glücklich sein|sehr erfreut sein|sehr zufrieden sein|sehr begeistert sein|sehr erfreut sein|sehr froh sein|sehr erfreut sein|sehr erfreut sein|sehr erfreut sein|sehr erfreut sein|sehr erfreut sein|sehr erfreut sein|se
to pull it off	es schaffen|es durchziehen|es hinbekommen|es bewerkstelligen|es vollbringen
keep their eyes on the ball	die Augen auf den Ball richten|den Blick auf den Ball richten|den Ball im Auge behalten
speaks with a forked tongue	mit gespaltener Zunge sprechen
bite the bullet	die Kugel beißen
on it like a crutch	drauf wie auf eine Krücke
take everything he says with a grain of salt	Nimm alles, was er sagt, mit einer Prise Salz|Nimm alles, was er sagt, mit Vorsicht|Nimm alles, was er sagt, mit Skepsis|Nimm alles, was er sagt, mit Zurückhaltung
out of left field	aus dem linken Feld|aus dem linken Feld heraus|aus dem linken Feld kommend
sink or swim	untergehen oder schwimmen
sour grapes	sauer Trauben
wait and see	abwarten und sehen
silver bullet	Silberne Kugel
cut the mustard	den Senf abschneiden|den Senf schneiden
a catch	ein Fang|ein Fangen|eine Falle|ein Fanggerät
beat around the bush	um den heißen Brei herumreden|um den Brei herumreden|um den Busch herumreden|sich im Kreis drehen|sich im Kreis bewegen|sich im Kreis drehen wie ein Hund, der sich in den Schwanz beißt
like a fish out of water	wie ein Fisch auf dem Trockenen|wie ein Fisch außerhalb des Wassers|wie ein Fisch ohne Wasser
burn the candle at both ends	Die Kerze an beiden Enden anzünden|Die Kerze von beiden Enden brennen lassen
chew the fat	das Fett kauen|das Fett zerkauen|das Fett durchkauen
bury the hatchet	das Kriegsbeil begraben
bark up the wrong tree	am falschen Baum bellen
pick myself up by my bootstraps	mich an meinen Stiefelriemen hochziehen| mich an meinen Stiefelschlaufen hochziehen
pie in the sky	Kuchen am Himmel|Kuchen in den Wolken|Kuchen in weiter Ferne|unrealistische Versprechungen
Pandora's box	Pandoras Büchse|Pandoras Kiste
to play it by ear	etwas aus dem Bauch heraus entscheiden|etwas spontan entscheiden|etwas improvisieren|etwas ohne Plan machen
through the wringer	durch die Mangel gedreht|durch den Wolf gedreht|durch die Presse gegangen|durch die Hölle gegangen
you have to break a few eggs to make an omelette	Man muss ein paar Eier brechen, um ein Omelett zu machen.
