times per minute	Mal pro Minute|Mal/Minute
kilometers	Kilometer
pounds	Pfund
meters per second	Meter pro Sekunde|Metern pro Sekunde
feet	Fuß|Füße
gallons	Gallonen
miles per hour	Meilen pro Stunde
tons	Tonnen
minute	Minute
miles	Meilen
Kelvin	Kelvin
meters	Meter
inch	Zoll
feet per second	Fuß pro Sekunde|Füßen pro Sekunde
watts	Watt
degrees Fahrenheit	Grad Fahrenheit
floors	Stockwerke|Etagen
pounds per square inch	Pfund pro Quadratzoll|Pfundkraft pro Quadratzoll
meters per second squared	Meter pro Sekunde zum Quadrat|Metern pro Sekunde zum Quadrat
inches	Zoll
kiloPascals	Kilopascal
kilowatt-hours	Kilowattstunden
percent	Prozent
kilopascals	Kilopascal
scale	Skala|Maßstab|Waage
degrees Celsius	Grad Celsius
km/h	km/h (Kilometer pro Stunde)
atmosphere	Atmosphäre
cup	Tasse|Becher|Pokal|Kelch|Schale
kilograms	Kilogramm
light-years	Lichtjahre
beats per minute	Schläge pro Minute
kilometer	Kilometer
gravitation	Gravitation
miles per gallon	Meilen pro Gallone
psi	"psi is an abbreviation for ""pounds per square inch"" and can be translated to ""Pfund pro Quadratzoll"" in German."
bytes	Bytes
days	Tage
years	Jahre
liters	Liter
kilograms per cubic meter	Kilogramm pro Kubikmeter|Kilogramm pro m³
on the Richter scale	auf der Richterskala
mph	"mph stands for ""miles per hour"". The valid German translation for mph is ""Meilen pro Stunde""."
second squared	Sekunde zum Quadrat|Sekunden zum Quadrat
volts	Volt
times per second	Mal pro Sekunde|Mal/Sekunde|Pro Sekunde multipliziert|Pro Sekunde dividiert
Gs	"""Gs"" is an abbreviation and can have different meanings depending on the context. Here are some possible translations:

- Gramm-Sekunde (unit of force)
- Gauß (unit of magnetic flux density)
- Gravitationseinheit (unit of gravitational acceleration)
- Geländesport (outdoor sports)
- Geschwindigkeitsänderung (change in velocity)
- Gleichstrom (direct current)
- Gas-Schweißen (gas welding)

Without more context"
kelvins	Kelvin
centimeters	Zentimeter
light years	Lichtjahre
megabytes	Megabyte
nanometers	Nanometer
hours	Stunden
Richter scale	Richterskala
decibels	Dezibel
billion miles	Milliarde Meilen
minutes	Minuten
cubic kilometers	Kubikkilometer
quarts	Quarts | NA
metric tons	Metrische Tonnen
square miles	Quadratmeilen
Celsius	Celsius
calories	Kalorien
square kilometers	Quadratkilometer
foldings	Faltungen
grams	Gramm
galaxy	Galaxie
liters per minute	Liter pro Minute|Litern pro Minute
sheets	Blätter|Bögen|Folien (if referring to plastic sheets)|Schichten (if referring to layers)
acre	"Acre has no direct translation in German. It is usually expressed as ""Acre"" in German texts."
widgets	Widgets (This term is commonly used in German as well and does not require translation)
ounces	Unzen
keys	Schlüssel
times stronger than Earth's	"""mal stärker als die Erde"""
kilogram	Kilogramm
square feet	Quadratfuß
minutes per mile	Minuten pro Meile
miles per second	Meilen pro Sekunde
Pascals	Pascal
PSI	"PSI is an English unit and does not have a direct translation in German. However, it is sometimes used in German technical contexts as an abbreviation for ""Pounds per Square Inch"". In this case, it would be translated as ""Pfund pro Quadratzoll""."
tesla	Tesla
pascals	Pascal
meters by meters	Meter mal Meter
milligrams	Milligramm
kilograms meters per second	Kilogramm Meter pro Sekunde|Kilogramm-Meter pro Sekunde|Kilogramm-Meter/Sekunde
cylinders	Zylinder
meter	Meter
mmHg	mmHg (This is a physical unit that is internationally standardized and therefore does not have a translation in German or any other language.)
kg	Kilogramm
mAh	Milliamperestunde
minutes per kilometer	Minuten pro Kilometer
hairs	Haare
battery	Batterie|Akku
degrees	Grad
N	"""N"" is not a physical unit and therefore cannot be translated into a valid German translation."
kilometers per hour	Kilometer pro Stunde|Kilometern pro Stunde
milliliters	Milliliter
newtons	Newton
newton meter	Newtonmeter
gram per milliliter	Gramm pro Milliliter
meters per square second	Meter pro Quadratsekunde|Metern pro Quadratsekunde
Fahrenheit	Fahrenheit
seconds	Sekunden
kilotons	Kilotonnen
m/s²	Meter pro Sekunde zum Quadrat | Metern pro Sekunde zum Quadrat
horsepower	Pferdestärke
million miles	Millionen Meilen
per minute	pro Minute
Joules	Joule
km	Kilometer
joules	Joule
ml	Milliliter
grams per cubic centimeter	Gramm pro Kubikzentimeter|Gramm pro cm³
heartbeat	Herzschlag
yards	Yards
pixels per inch	Pixel pro Zoll|Pixel/Zoll
calories per mile	Kalorien pro Meile
units	Einheiten
cubic feet per second	Kubikfuß pro Sekunde|Kubikfuß/Sekunde
dB	Dezibel
weeks	Wochen
nanoteslas	Nanotesla
people	Menschen|Leute|Personen
day	Tag
hectopascals	Hektopascal
second	Sekunde
billion kilometers	Milliarde Kilometer
short tons	Kurztonnen
thousand feet	tausend Fuß
billion years	Milliarden Jahre
meter per second squared	Meter pro Sekunde zum Quadrat | Metern pro Sekunde zum Quadrat
nautical miles	Seemeilen
cubic feet	Kubikfuß|Kubikfuß (US)|Kubikfuß (USA)|Kubikfuß (amerikanisch)|Kubikfuß (amerikanische Maßeinheit)|Kubikfuß (US-amerikanisch)|Kubikfuß (US-amerikanische Maßeinheit)|Kubikfuß (US-Einheit)|Kubikfuß (US-Maßeinheit)|Kub
megapixels	Megapixel
revolutions per minute	Umdrehungen pro Minute|Drehungen pro Minute
pounds per gallon	Pfund pro Gallone|Pounds pro Gallone
gram per cubic centimeter	Gramm pro Kubikzentimeter
cubic inches	Kubikzoll
times per day	Mal pro Tag|Mal am Tag
megajoules	Megajoule
carats	Karat
square meters	Quadratmeter
atmospheres	Atmosphären
hertz	Hertz
tonnes	Tonnen
British thermal units	Britische Thermal-Einheiten
mg	mg (Milligramm)
m/s	Meter pro Sekunde
times	Mal|Zeiten
mile	Meile
kilometers per second	Kilometer pro Sekunde|Kilometern pro Sekunde
million Kelvins	Million Kelvin
breaths per minute	Atemzüge pro Minute
amperes	Ampere
Nm	Newtonmeter
dBFS	"dBFS (decibels relative to full scale) is an English acronym that is commonly used in German as well. Therefore, the valid German translation would be ""dBFS""."
spectators	Zuschauer|Zuschauerinnen
ft	Fuß
g/cm³	Gramm pro Kubikzentimeter|Gramm pro Kubikzentimeter³
kelvin	Kelvin
millibars	Millibar
Pascal	Pascal
millimeters	Millimeter
trillion miles	Billionen Meilen
bpm	Schläge pro Minute (SPM)|Herzschläge pro Minute (HSM)|Puls pro Minute (PPM)
kWh	Kilowattstunde
ly	ly (Abkürzung für Lichtjahr) - there is no valid German translation for this term. It is commonly used in German as well.
