down in the dumps	deprimido | triste
keeping all balls in the air	mantener muchas cosas en orden o bajo control al mismo tiempo
knocks it out of the park	tener un gran éxito
put all your eggs in one basket	arriesgarlo todo en una sola cosa
think outside the box	pensar de manera creativa o innovadora | pensar fuera de lo convencional
calls a spade a spade	hablar con franqueza, decir las cosas como son
dead tired	muertos de cansancio | agotados
fell apart	colapsó emocionalmente
pass with flying colors	aprobar con excelencia
under the weather	sentirse mal o enfermo
get a word in edgewise	No puedo meter baza cuando mi jefe está hablando.
spills the beans	revelar un secreto antes de tiempo | contar un secreto sin querer
face the music	enfrentar las consecuencias de sus acciones
over the moon	muy emocionada/feliz
to pull it off	lograrlo con éxito | conseguirlo
keep their eyes on the ball	mantenerse concentrados en lo que están haciendo
speaks with a forked tongue	hablar con doble intención|hablar con hipocresía
bite the bullet	hacer algo difícil o desagradable que se ha estado evitando
on it like a crutch	en ella como si fuera un bastón
take everything he says with a grain of salt	No tomar todo lo que dice al pie de la letra|No creer todo lo que dice sin cuestionarlo
out of left field	inesperado|sorprendente|fuera de lo común
sink or swim	tener que arriesgarse y hacerlo sin ayuda o fracasar
sour grapes	despecho por no haber conseguido algo|envidia disimulada por no haber conseguido algo
wait and see	esperar para ver|veremos qué pasa
silver bullet	solución mágica|solución perfecta
cut the mustard	hacer el trabajo bien|ser lo suficientemente bueno para hacer algo
a catch	una persona valiosa o interesante
beat around the bush	andarse con rodeos|ir al grano
like a fish out of water	sentirse fuera de lugar|sentirse incómodo en una situación nueva o desconocida
burn the candle at both ends	trabajar mucho y dormir poco|vivir al límite
chew the fat	charlar|platicar|hablar sin prisa
bury the hatchet	intentar hacer las paces|intentar reconciliarse
bark up the wrong tree	equivocarse de objetivo|dirigirse a la persona equivocada
pick myself up by my bootstraps	levantarme por mi cuenta|recuperar mi ánimo por mi cuenta
pie in the sky	algo que suena demasiado bueno para ser verdad|una promesa poco realista
Pandora's box	un problema muy grande que desencadena otros problemas
to play it by ear	improvisar|decidir sobre la marcha|tomar una decisión en el momento
through the wringer	someter a alguien a una prueba difícil o exigente|poner a alguien a prueba de manera rigurosa
you have to break a few eggs to make an omelette	Para lograr algo nuevo, a veces es necesario cometer errores o sacrificar algo.
a big softie	una persona muy sensible
drop the ball	cometer un error grave|fracasar en algo importante
to play second fiddle	to be in a subordinate position|to have a less important role
not my cup of tea	no es lo mío|no es lo mío, no es lo que me gusta o se me da bien
to bite the bullet	hacer algo difícil o desagradable que se debe hacer sin dudarlo o vacilar
the ball rolling	empezar a hacer algo|iniciar algo
a piece of cake	muy fácil|pan comido
his word	su palabra
her cool	su calma|la compostura
plan A	el primer plan|el plan principal|el plan inicial
making a mountain out of a molehill	exagerar un problema pequeño o insignificante
skeletons in his closet	secretos oscuros del pasado que no quiere que nadie sepa
hit the nail on the head	lograr algo con éxito|dar en el clavo
bigger fish to fry	cosas más importantes que hacer|asuntos más urgentes que atender
it takes two to tango	Una situación conflictiva o un problema no se produce por la acción de una sola persona, sino por la acción de dos o más personas.
hit the hay	irse a dormir | acostarse
bats in his belfry	locura|estar loco
hot under the collar	estar muy enojado
smoke and mirrors	engaño|ilusión|apariencia engañosa
a chip on his shoulder	tener una actitud hostil o resentida sin motivo aparente
the icing on the cake	algo que mejora una situación ya buena|algo adicional que hace que algo bueno sea aún mejor
a chip off the old block	una persona muy parecida a otra, especialmente a su padre o madre
break a leg	buena suerte|mucha suerte
tighten our belts	ajustar el cinturón|apretarnos el cinturón|reducir gastos
barking up the wrong tree	estar equivocado en la forma de abordar un problema o situación|estar en un camino equivocado para lograr algo
stick to her guns	mantenerse firme en su decisión o postura|no cambiar de opinión o decisión a pesar de la oposición o críticas de otros
