down in the dumps	abajo en el vertedero
keeping all balls in the air	mantener todas las pelotas en el aire
knocks it out of the park	lo saca del parque
put all your eggs in one basket	poner todos tus huevos en una sola canasta
think outside the box	pensar fuera de la caja
calls a spade a spade	llama al pan, pan y al vino, vino
dead tired	muerto de cansancio
fell apart	se desmoronó
pass with flying colors	aprobar con colores voladores
under the weather	debajo del clima
get a word in edgewise	conseguir una palabra en el filo de la cuchilla
spills the beans	derrama los frijoles
face the music	enfrentar la música
over the moon	sobre la luna
to pull it off	lograrlo | conseguirlo
keep their eyes on the ball	mantener sus ojos en la pelota
speaks with a forked tongue	habla con lengua bifurcada
bite the bullet	morder la bala
on it like a crutch	en ello como una muleta
take everything he says with a grain of salt	Tomar todo lo que él dice con una pizca de sal.
out of left field	fuera del campo izquierdo
sink or swim	nadar o hundirse
sour grapes	uvas agrias
wait and see	esperar y ver
silver bullet	bala de plata
cut the mustard	cortar la mostaza
a catch	una captura | una atrapada | un enganche
beat around the bush	dar vueltas alrededor del arbusto
like a fish out of water	como un pez fuera del agua
burn the candle at both ends	quemar la vela por ambos extremos
chew the fat	masticar la grasa
bury the hatchet	enterrar el hacha
bark up the wrong tree	ladrar al árbol equivocado
pick myself up by my bootstraps	levantarme por mis propias botas
pie in the sky	pastel en el cielo
Pandora's box	la caja de Pandora
to play it by ear	jugarlo por oído
through the wringer	a través del exprimidor
you have to break a few eggs to make an omelette	tienes que romper algunos huevos para hacer una tortilla
a big softie	un gran blandito
drop the ball	dejar caer la pelota
to play second fiddle	tocar el segundo violín
not my cup of tea	no es mi taza de té
to bite the bullet	morder la bala
the ball rolling	hacer rodar la pelota
a piece of cake	un pedazo de pastel | pan comido
his word	su palabra
her cool	su frescura
plan A	plan A
making a mountain out of a molehill	hacer una montaña de un grano de arena
skeletons in his closet	esqueletos en su armario
hit the nail on the head	dar en el clavo
bigger fish to fry	peces más grandes que freír
it takes two to tango	se necesitan dos para bailar tango
hit the hay	golpear el heno
bats in his belfry	murciélagos en su campanario
hot under the collar	caliente debajo del cuello
smoke and mirrors	humo y espejos
a chip on his shoulder	un chip en su hombro
the icing on the cake	la cobertura en el pastel
a chip off the old block	una astilla del viejo bloque
break a leg	romperse una pierna
tighten our belts	apretar nuestros cinturones
barking up the wrong tree	ladrando al árbol equivocado
stick to her guns	aferrarse a sus armas
his heart set on	su corazón puesto en
an uphill battle	una batalla cuesta arriba
in over her head	en agua sobre su cabeza
with words	con palabras
circumstances beyond our control	circunstancias fuera de nuestro control
her own business	su propio negocio
running around like a headless chicken	corriendo alrededor como un pollo sin cabeza
the show	el espectáculo
food for thought	comida para el pensamiento
between you and me	entre tú y yo
take shape	tomar forma
a litter of kittens	una camada de gatitos
roll with the punches	rodar con los golpes
To let the cat out of the bag	Dejar salir al gato de la bolsa
between a rock and a hard place	entre la espada y la pared
knocking on wood	golpeando madera
your chickens before they're hatched	tus pollos antes de que nazcan
nipped it in the bud	cortarlo en flor
spilled milk	leche derramada
ins and outs	entradas y salidas
pick up the ball and run with it	recoger la pelota y correr con ella
put your best foot forward	poner tu mejor pie adelante
Burning bridges	Quemando puentes.
beg, borrow or steal	pedir prestado, robar o mendigar
let the chips fall where they may	Dejar que las fichas caigan donde puedan.
walking the talk	caminando el discurso
break the ice	romper el hielo
put our best foot forward	poner nuestro mejor pie adelante
play it by ear	tocarlo por oído
bee in his bonnet	abeja en su sombrero
separating the wheat from the chaff	separando el trigo de la paja
putting money aside for a rainy day	poniendo dinero a un lado para un día lluvioso
call it a day	llamarlo un día
on cloud nine	en la nube nueve
spice things up	darle sabor a las cosas | condimentar las cosas
at home	en casa
seize the day	aprovechar el día
nodding off	asentir con la cabeza mientras te duermes | cabecear
like a duck to water	como un pato al agua
hit the books	golpear los libros
bounce back	rebotar de vuelta
building castles in the air	construyendo castillos en el aire
fighting chance	oportunidad de luchar | posibilidad de pelear
my back	mi espalda
coming up roses	llegando con rosas
golden touch	toque de oro
hit the ground running	empezar con fuerza | empezar con todo | empezar con energía | empezar con impulso
cut to the chase	ir al grano
stranger than fiction	más extraño que la ficción
keep an eye on them	mantener un ojo en ellos
digs in her heels	clava sus talones
let out a sigh of relief	soltar un suspiro de alivio
down the drain	por el desagüe
cost an arm and a leg	costar un ojo de la cara | costar un riñón
bend over backwards	doblar hacia atrás
sit well with me	sentarse bien conmigo
In a nutshell	En pocas palabras | En resumen | En resumidas cuentas
green around the gills	verde alrededor de las branquias
chip on his shoulder	un chip en su hombro
keep your chin up	mantén tu barbilla arriba
dropped the ball	dejó caer la pelota
put all his eggs in one basket	poner todos sus huevos en una sola canasta
see eye to eye	ver ojo a ojo
right up my alley	justo en mi calle
beating a dead horse	golpear un caballo muerto
have a cow	tener una vaca
threw in the towel	lanzó la toalla
lean on her	apoyarse en ella
hammer out	martillar fuera
to go the extra mile	ir la milla extra
stolen her thunder	robar su trueno
caught between a rock and a hard place	atrapado entre la espada y la pared
fallen flat	caído plano
to bite off more than I can chew	morder más de lo que puedo masticar
up in the air	en el aire
up in smoke	en humo
dead in the water	muerto en el agua
sink in	hundirse
to hit the hay	golpear el heno
running around like a chicken with its head cut off	corriendo alrededor como un pollo sin cabeza
behind the eight ball	detrás de la bola ocho
in a rut	en una rutina
to butter me up	untarme mantequilla
the ground running	el suelo corriendo
the whole nine yards	los nueve metros completos
a clean slate	una pizarra limpia
put the cart before the horse	poner el carro delante del caballo
the box	la caja
bite off more than I can chew	morder más de lo que puedo masticar
her pride	su orgullo
in no time	en poco tiempo | en un abrir y cerrar de ojos | en un santiamén
keep our eyes peeled	mantener nuestros ojos pelados
to wrap his head around	envolver su cabeza alrededor | entender algo difícil de comprender
early bird catches the worm	el pájaro madrugador atrapa el gusano
put their nose to the grindstone	poner su nariz en la piedra de moler
