6.7 million	6,7 millones|seis millones setecientos mil
8 trillion	8 billones|ocho billones
40 million	40 millones
2.4 billion	2.400 millones|2400 millones|2,4 mil millones|dos coma cuatro miles de millones|dos mil cuatrocientos millones
177 billion	177.000 millones|177000 millones|177 mil millones|ciento setenta y siete miles de millones
1.4 billion	1.400 millones|1400 millones|1,4 mil millones|uno coma cuatro miles de millones|mil cuatrocientos millones
28 trillion	28 billones|veintiocho billones
200 million	200 millones|doscientos millones
5 trillion	5 billones|cinco billones
152 billion	152.000 millones|152000 millones|152 mil millones|ciento cincuenta y dos miles de millones
100 billion	100.000 millones|100000 millones|100 mil millones|cien miles de millones
1.2 million	1.200.000|1,2 millones|un millón doscientos mil
86 billion	86.000 millones|86000 millones|86 mil millones|ochenta y seis miles de millones
800 billion	800.000 millones|800000 millones|ochocientos mil millones|ochocientos miles de millones
80 million	80 millones|ochenta millones
8 million	8 millones
4.5 trillion	4.5 billones|cuatro billones y medio|cuatro coma cinco billones|4500 mil millones
277 trillion	277 billones|doscientos setenta y siete billones
7 million	7 millones
6 trillion	6 billones|seis billones
1.5 million	1,5 millones|un millón y medio
8 billion	8.000 millones|8 mil millones|ocho mil millones|ocho billones (in some Spanish-speaking countries)
450 million	450 millones|cuatrocientos cincuenta millones
20 million	20 millones|veinte millones
3 trillion	3 billones|tres billones
34 million	34 millones|treinta y cuatro millones
200 billion	200.000 millones|200000 millones|200 mil millones|doscientos mil millones
3.6 million	3,6 millones|tres millones seiscientos mil
5 million	5 millones
3.1 trillion	3,1 billones|tres coma uno billones
716.6 billion	716.600 millones|716600 millones|716 mil seiscientos millones|setecientos dieciséis mil seiscientos millones|setecientos dieciséis coma seis miles de millones
210 billion	210.000 millones|210000 millones|210 mil millones|doscientos diez miles de millones
18 trillion	18 billones|dieciocho billones
7.6 trillion	7.600 billones|7,6 billones|siete billones seiscientos mil millones|siete coma seis billones
1 trillion	1 billón|un billón
300 billion	300.000 millones|300000 millones|300 mil millones|trescientos mil millones
6 million	6 millones|seis millones
134 billion	134.000 millones|134000 millones|134 mil millones|ciento treinta y cuatro miles de millones
7.8 billion	7.800 millones|7800 millones|7,8 mil millones|siete coma ocho miles de millones|siete mil ochocientos millones
150 billion	150.000 millones|150000 millones|150 mil millones|ciento cincuenta miles de millones
25 billion	25.000 millones|25000 millones|25 mil millones|veinticinco miles de millones
153 billion	153.000 millones|153000 millones|153 mil millones|ciento cincuenta y tres miles de millones
140 billion	140.000 millones|140000 millones|140 mil millones|ciento cuarenta miles de millones
1 billion	1.000 millones|1000 millones|uno mil millones|mil millones
900 million	900 millones|novecientos millones
63.8 million	63,8 millones|sesenta y tres coma ocho millones
4.54 billion	4.540 millones|4540 millones|4,54 mil millones|cuatro coma cincuenta y cuatro miles de millones|cuatro mil quinientos cuarenta millones
678.7 billion	678.700 millones|678700 millones|678 mil setecientos millones|seiscientos setenta y ocho mil setecientos millones|seiscientos setenta y ocho coma siete miles de millones
293 million	293 millones|doscientos noventa y tres millones
802 billion	802.000 millones|802000 millones|802 mil millones|ochocientos dos miles de millones
62 billion	62.000 millones|62000 millones|62 mil millones|sesenta y dos miles de millones
2.3 trillion	2.3 billones|dos punto tres billones|dos mil trescientos billones
4.2 trillion	4.200 billones|4200 billones|4,2 trillones|cuatro coma dos trillones|cuatro mil doscientos billones
7 billion	7.000 millones|7 mil millones|siete mil millones|siete billones (in some Spanish-speaking countries)
100 million	100 millones
501.3 billion	501.300 millones|501300 millones|501,3 mil millones|quinientos uno coma tres miles de millones|quinientos un mil trescientos millones
10 million	10 millones|diez millones
900 billion	900.000 millones|900000 millones|900 mil millones|novecientos miles de millones
4.8 trillion	4.800 billones|4800 billones|cuatro billones ochocientos mil millones|cuatro trillones ochocientos mil millones
10 billion	10.000 millones|10 mil millones|diez mil millones
3.5 trillion	3.5 billones|tres coma cinco billones|tres mil quinientos billones
821 million	821 millones|ochocientos veintiún millones
33.1 billion	33.100 millones|33.1 mil millones|treinta y tres mil cien millones|treinta y tres coma uno mil millones
125 billion	125.000 millones|125000 millones|125 mil millones|ciento veinticinco miles de millones
