times per minute	veces por minuto
kilometers	kilómetros
pounds	libras
meters per second	metros por segundo
feet	pies
gallons	galones
miles per hour	millas por hora
tons	toneladas
minute	minuto
miles	millas
Kelvin	Kelvin
meters	metros
inch	pulgada
feet per second	pies por segundo
watts	vatios|watts|wattios
degrees Fahrenheit	grados Fahrenheit
floors	pisos|plantas|niveles|entrepisos
pounds per square inch	libras por pulgada cuadrada|psi|lb/pulg²|lb/in²|lb/pulg^2|lb/in^2
meters per second squared	metros por segundo al cuadrado
inches	pulgadas
kiloPascals	kiloPascals|kPa|kilopascales
kilowatt-hours	kilovatio-horas|kilovatios-hora|kilovatios por hora|kilovatios hora|kilovatio por hora|kilovatio hora
percent	por ciento
kilopascals	kilopascales
scale	escala | balanza | escala de medición | escala de valores | graduación | rango | proporción
degrees Celsius	grados Celsius
km/h	km/h | kilómetros por hora
atmosphere	atmósfera
cup	taza|copa|vaso|medidor (if referring to a measuring cup)|copita (if referring to a small cup)
kilograms	kilogramos
light-years	años luz
beats per minute	latidos por minuto
kilometer	kilómetro
gravitation	gravitación
miles per gallon	millas por galón
psi	"PSI stands for ""pounds per square inch"" which translates to ""libras por pulgada cuadrada"" in Spanish. Therefore, the valid Spanish translation for ""psi"" is ""libras por pulgada cuadrada"" or ""lpc""."
bytes	bytes
days	días
years	años
liters	litros
kilograms per cubic meter	kilogramos por metro cúbico
on the Richter scale	en la escala de Richter
mph	"mph stands for ""miles per hour"", so the valid Spanish translation is ""millas por hora""."
second squared	segundo al cuadrado
volts	voltios
times per second	veces por segundo
Gs	"""Gs"" could have different meanings depending on the context. Here are some possible translations:

- If it refers to the Paraguayan currency ""Guaraníes"", the valid translation would be ""Gs"" or ""PYG"" (the ISO code for the currency).
- If it refers to the unit of acceleration ""g-force"", the valid translation would be ""fuerza G"" or ""aceleración G"".
- If it refers to a person's initials or a proper noun,"
kelvins	kelvin
centimeters	centímetros
light years	años luz
megabytes	megabytes
nanometers	nanómetros
hours	horas
Richter scale	escala de Richter
decibels	decibelios
billion miles	mil millones de millas
minutes	minutos
cubic kilometers	kilómetros cúbicos
quarts	cuartos
metric tons	toneladas métricas
square miles	millas cuadradas
Celsius	Celsius
calories	calorías
square kilometers	kilómetros cuadrados
foldings	"The term ""foldings"" is not clear enough to provide a valid translation. Could you please provide more context or information about what you are referring to?"
grams	gramos
galaxy	galaxia
liters per minute	litros por minuto
