down in the dumps	NA
keeping all balls in the air	空中にある全てのボールをキープする
knocks it out of the park	野球場の外に打ち出す|NA
put all your eggs in one basket	すべての卵を一つのかごに入れる
think outside the box	箱の外を考える
calls a spade a spade	物を言える人|スペードをスペードと呼ぶ
dead tired	死んだように疲れた
fell apart	崩れ落ちた
pass with flying colors	飛び級で合格する
under the weather	天気の下に
get a word in edgewise	隙を見て言葉を挟む
spills the beans	豆をこぼす
face the music	音楽に向き合う
over the moon	月の上にいる
to pull it off	それを引っ張る
keep their eyes on the ball	ボールに目を留める
speaks with a forked tongue	蛇のように舌が二本あるように話す
bite the bullet	弾丸を噛んでください|弾丸を噛む
on it like a crutch	松葉杖のようにそれに乗ります
take everything he says with a grain of salt	彼が言うことは塩を加えて受け止めてください
out of left field	左のフィールドから出た
sink or swim	泳げるかどうか沈むかどうか
sour grapes	酸っぱいブドウ
wait and see	待って見る
silver bullet	銀の弾丸
cut the mustard	マスタードを切る
a catch	捕まえること
beat around the bush	話を遠回しにする|木の枝を打つ
like a fish out of water	水から出た魚のように
burn the candle at both ends	ろうそくを両端から燃やす
chew the fat	脂肪を噛む
bury the hatchet	斧を埋める
bark up the wrong tree	間違った木に吠える
pick myself up by my bootstraps	自分のブーツの革紐を引っ張って自分を立ち上げる
pie in the sky	空のパイ
Pandora's box	パンドラの箱
to play it by ear	その場の状況に応じて行動する|耳で音をとって行動する
through the wringer	絞り搾るように
you have to break a few eggs to make an omelette	オムレツを作るには、いくつかの卵を割る必要があります
a big softie	大きな柔らかいもの
drop the ball	ボールを落とす
to play second fiddle	二番手を弾く
not my cup of tea	私の好みではない|私の興味ではない
to bite the bullet	弾丸を噛む
the ball rolling	ボールを転がす
a piece of cake	ケーキの一切れ
his word	彼の言葉
her cool	NA
plan A	プランA
making a mountain out of a molehill	鼻息荒くして小さなことを大げさに言う
skeletons in his closet	彼のクローゼットには骸骨がある
hit the nail on the head	釘を頭に打つ
bigger fish to fry	揚げ足を取ることはない|より重要なことがある
