Alex	アレックス|アレクス
Sophie	ソフィー|ソフィ|ソフィア
David	デイビッド|ダビデ
Caroline	キャロライン|カロライン|キャロリン|カロリン
John	ジョン|ヨハン|ヨン|ジョーンズ|ジョニー|ジョナサン
Julia	ジュリア|ユリア
Lucas	ルーカス|ルカス
Oliver	オリバー|オリヴァー
Maria	マリア
Paul	ポール
Carla	カルラ
Elena	エレナ|エレーナ|イレーナ|イレナ
George	ジョージ|ジョルジュ
Maggie	マギー|マギーー
William	ウィリアム|ウィリム|ウィリアムズ|ビリー|ビル
Sophia	ソフィア|ソフィアー|ソフィー|ソフィーー
Jackson	ジャクソン|ジャクソンズン|ジャクソンソン|ジャクソンズ
Jessica	ジェシカ
James	ジェームズ|ジェイムズ|ジェイムズ|ジェームス
Liam	リアム
Ava	エイバ|アヴァ
Emily	エミリー|エミリィ|エミリ|エミリイ
Olivia	オリビア
Lola	ローラ
Natalie	ナタリー
Adam	アダム
Nicole	ニコール|ニコル
Carlos	カルロス
Giovanni	ジョバンニ|ジョヴァンニ|ジョアンニ
Max	マックス|マックスウェル
Eleanor	エレノア|エレナー|エレナ|エレノアー
Isabella	イザベラ|イザベル|イザベルラ|イザベルア|イザベルカ|イザベルサ|イザベルツ|イザベルナ|イザベルハ|イザベルマ|イザベルヤ|イザベルヨ|イ
Sarah	サラ
Cameron	カメロン|キャメロン
Jason	ジェイソン|ジェイソーン
Anthony	アンソニー|アントニー
Nina	ニーナ
Michael	マイケル
Taylor	テイラー
Julie	ジュリー|ジュリィ
Thomas	トーマス|トマス
Lisa	リサ
Nate	ネイト|ネイトウ|ネイトー
Rachel	レイチェル
Anna	アンナ|アナ
Jack	ジャック
Dwayne	ドウェイン|ドウェーン|ドウェイン・ジョンソン
Karen	カレン
Samantha	サマンサ
Daniel	ダニエル|ダニル
Scarlett	スカーレット
Jonathan	ジョナサン|ヨナタン
Mia	ミア|ミヤ
Julian	ジュリアン|ジュリアンヌ|ジュリアナ|ジュリアーノ
Jacob	ヤコブ|ジェイコブ
Alicia	アリシア|アリシャ
Gabriela	ガブリエラ|ガブリエッラ
Helen	ヘレン
Chris	クリス|クリストファー|クリスチャン|クリスティーナ|クリスティン|クリスティ|クリスピン|クリスト|クリスマス
Kate	ケイト|ケイトウ|カイト
Alexandre	アレクサンドル|アレクサンドレ|アレクサンダー
Ethan	イーサン
Jennifer	ジェニファー|ジェニファ|ジェニー|ジェンナー
Audrey	オードリー
Tyler	タイラー
Rebecca	レベッカ|レベカ|レベッカー|レベカー
Ana	アナ|アンナ
Megan	メーガン|メガン
Antonio	アントニオ
Isaac	アイザック|アイサック
Leo	レオ|リオ
Justin	ジャスティン
Michelle	ミシェル
Nora	ノラ|ノーラ
Hannah	ハンナ
Maxwell	マックスウェル
Lupita	ルピタ
Naomi	ナオミ
Tony	トニー
Juan	ワン|フアン|ファン
Diego	ディエゴ
Jasmine	ジャスミン|ジャズミン
Vivian	ビビアン|ヴィヴィアン|ビヴィアン
Mario	マリオ
Tara	タラ|テラ
Lionel	ライオネル
Chloe	クロエ
Gabriel	ガブリエル|ガブリール
Abby	アビー|アビィ|アビィー
Nathan	ネイサン|ナサン
Susan	スーザン|スーズン|スーズェン
Ella	エラ
Jake	ジェイク
Avery	エイブリー|アベリー
Mike	マイク
Beyoncé	ベヨンセ
Charlie	チャーリー|チャーレー|チャーリ|チャーレィ
Andrew	アンドリュー|アンドルー|アンドリューー
Ben	ベン
Elon	イーロン
Ariana Grande	アリアナ・グランデ
Tom Hanks	トム・ハンクス
Pedro	ペドロ
Catherine	キャサリン|キャサリーン|キャサリンエ|キャサリンヌ|キャサリナ|カトリーヌ|カトリーヌエ|カトリーヌヌ|カトリーヌナ
Miguel	ミゲル
Benjamin	ベンジャミン|ベン|ベンヤミン
Isabelle	イザベル|イザベラ|イザベルル|イザベラル
Sandra	サンドラ
Joshua	ジョシュア|ヨシュア
Samuel	サミュエル|サムエル
Steve	スティーブ|スティーブン|スティーブンス
Lily	リリー|リリィ
Tom	トム
Eva	エヴァ|エバ
Ariana	アリアナ|アリアーナ|アリーナ
Eric	エリック
Ryan	ライアン|ライアンヌ|ライアンナ|ライヤン|ライヤンヌ|ライヤンナ
Amanda	アマンダ
Victoria	ヴィクトリア|ビクトリア
Lena	レナ|リーナ
Victor	ビクター|ヴィクター
Robert	ロバート|ロベルト
Lila	ライラ
Mickey Mouse	ミッキーマウス
Linda	リンダ
Steven	スティーブン|スティーブ|スティーヴン|スティーヴ|スティーベン|スティーブンス|スティーブンソン
Michael Jackson	マイケル・ジャクソン
Spider-Man	スパイダーマン
Carlos Santana	カルロス・サンタナ
Kevin	ケビン
Jenna	ジェナ
Tom Hardy	トム・ハーディ
Grace	グレース
Batman	バットマン
Stephen Hawking	スティーブン・ホーキング
Ed Sheeran	エド・シーラン
Taylor Swift	テイラー・スウィフト
Nick	ニック
Riccardo	リッカルド
Amelia	アメリア|アメリヤ|アメーリア
Freddie Mercury	フレディ・マーキュリー
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
Jenny	ジェニー|ジェニィ|ジェニィー
Alexandra	アレクサンドラ|アレクサンドリア
Jane	ジェーン|ジェイン
Melissa	メリッサ|メリサ|メリサー
Gabriel Garcia Marquez	ガブリエル・ガルシア・マルケス
Google	グーグル
Robert De Niro	ロバート・デ・ニーロ
Victoria Beckham	ヴィクトリア・ベッカム
Henry	ヘンリー
Mr. Johnson	ジョンソンさん
Whitney Houston	ウィットニー・ヒューストン
Miami	マイアミ
Elisa	エリサ
Oscar	オスカー
Annie	アニー|アニ|アンニー|アンニ
Evelyn	イブリン|エブリン|エヴリン
Stephen	スティーブン|スティーブ|ステファン|ステファニー|スティーブンス|スティーブンソン
Lucy	ルーシー|ルーシィ
Diana	ダイアナ
Gina	ジーナ|ジナ
Luke	ルーク
Nancy	ナンシー
Josh	ジョシュ|ジョッシュ
IBM	アイ・ビー・エム
Marcus	マーカス|マルクス
Van Gogh	ヴァン・ゴッホ
Idris Elba	イドリス・エルバ
Brian	ブライアン|ブライヤン
Joseph	ジョセフ
Juliana	ジュリアナ|ジュリアーナ|ジュリアナー
Paula	ポーラ
Kelly	ケリー|ケリィ
Kim	キム
Buddy	バディ
Lauren	ローレン
Denzel	デンゼル
Sara	サラ|サラー
