times per minute	分あたり|回/分
kilometers	キロメートル
pounds	ポンド
meters per second	meters per second|メートル毎秒
feet	フィート
gallons	ガロン|gal
miles per hour	mph|マイル毎時
tons	トン
minute	分
miles	マイル
Kelvin	ケルビン (K)
meters	メートル
inch	インチ
feet per second	フィート毎秒|ft/s
watts	ワット (W)
degrees Fahrenheit	度華氏
floors	階数|階
pounds per square inch	psi|ポンド毎平方インチ
meters per second squared	m/s^2|メートル毎秒毎秒
inches	インチ
kiloPascals	kPa|キロパスカル
kilowatt-hours	kWh|キロワット時
percent	%|パーセント
kilopascals	kPa|キロパスカル
scale	"There are multiple possible meanings for ""scale"". Could you please provide more context or specify which meaning you are referring to?"
degrees Celsius	°C|摂氏度
km/h	km/h|キロメートル毎時
atmosphere	atm|アトモスフィア
cup	カップ|cup
kilograms	キログラム
light-years	光年|ライトイヤー
beats per minute	BPM|分あたりの拍数
kilometer	km|キロメートル
gravitation	Gravitation is a physical phenomenon and not a unit of measurement. Therefore, there are no symbols for it.
miles per gallon	mpg|マイル毎ガロン
psi	psi|ポンド毎平方インチ
bytes	bytes|バイト
days	日
years	年
liters	リットル | L
kilograms per cubic meter	kg/m³|キログラム毎立方メートル
on the Richter scale	リヒター・スケールによる
mph	マイル毎時
second squared	s^2|秒の二乗
volts	ボルト (volts in Japanese is the same as in English)
times per second	回毎秒|秒間あたり
Gs	"The symbol ""Gs"" can have different meanings depending on the context. Here are some possibilities:

- In physics, ""Gs"" can refer to the acceleration due to gravity, which is approximately 9.81 meters per second squared (m/s^2) or 32.2 feet per second squared (ft/s^2). In this case, the symbol is not usually written with a unit.
- In the context of centrifugation, ""Gs"" can refer to the relative centrifugal"
kelvins	ケルビン
centimeters	センチメートル | cm
light years	光年 | light years
megabytes	MB|メガバイト
nanometers	nm|ナノメートル
hours	時間
Richter scale	リヒター・スケール
decibels	dB|デシベル
billion miles	"10億マイル | NA (There is no commonly used symbol for ""billion"" in Japanese. The Japanese language uses the ""long scale"" system, where ""billion"" is equivalent to 10^9, and the word ""oku"" (億) is used instead.)"
minutes	分
cubic kilometers	立方キロメートル
quarts	クォート
metric tons	メートルトン
square miles	平方マイル|sq mi
Celsius	℃|摂氏
calories	cal|カロリー
square kilometers	km²|平方キロメートル
foldings	"I'm sorry, but I need more context to provide an accurate answer. ""Foldings"" could refer to a variety of things, and without more information, I cannot provide a list of possible symbols."
grams	グラム
galaxy	銀河|ギャラクシー
liters per minute	リットル毎分|L/min
sheets	"NA. ""Sheets"" is a unit of count and does not have a symbol."
acre	エーカー
widgets	"""Widgets"" is not a unit of measurement, so there are no symbols for it."
ounces	オンス (ounces)
keys	"Keys can refer to different things, so here are a few possible translations:

- Keys on a keyboard: キー
- Keys to a lock: 鍵 (かぎ, kagi)
- Keys to a car: カギ (kagi) or キー (kii)
- Keys to a house: 家の鍵 (いえのかぎ, ie no kagi)"
times stronger than Earth's	地球の何倍も強い | NA
kilogram	kg|キログラム
square feet	sq ft|平方フィート
minutes per mile	分毎マイル
miles per second	NA - Miles per second is not a commonly used unit in everyday life.
Pascals	パスカル (Pa)
PSI	PSI|ポンド毎平方インチ
tesla	Tesla|テスラ
pascals	パスカル
meters by meters	メートル x メートル
