times per minute	分あたりの回数 | 分間の回数
kilometers	キロメートル
pounds	ポンド
meters per second	秒速メートル | メートル毎秒
feet	フィート
gallons	ガロン
miles per hour	マイル毎時
tons	トン
minute	分
miles	マイル
Kelvin	ケルビン
meters	メートル
inch	インチ
feet per second	フィート毎秒
watts	ワット
degrees Fahrenheit	華氏度
floors	階数 | フロア数
pounds per square inch	ポンド毎平方インチ
meters per second squared	メートル毎秒毎秒
inches	インチ
kiloPascals	キロパスカル
kilowatt-hours	キロワット時
percent	パーセント | ％
kilopascals	キロパスカル
scale	スケール | 目盛り | 測定器 | 測定スケール | スケール板 | スケールメーター
degrees Celsius	摂氏度
km/h	キロメートル毎時
atmosphere	大気 | アトモスフィア
cup	カップ | コップ
kilograms	キログラム
light-years	光年
beats per minute	分あたりの拍数 | 分間の拍数
kilometer	キロメートル
gravitation	重力
miles per gallon	マイル毎ガロン
psi	ポンド毎平方インチ
bytes	バイト
days	日 (にち) | 日数 (にっすう)
years	年
liters	リットル
kilograms per cubic meter	キログラム毎立方メートル
on the Richter scale	リヒター・スケールで
mph	マイル毎時
second squared	秒の二乗 | 秒の二乗根 | 秒毎秒
volts	ボルト
times per second	秒間あたり | 秒あたり | 秒毎に | 秒ごとに
Gs	"Gs can have different meanings depending on the context. Here are some possible translations:

- Gs (gravity): G単位、重力加速度
- Gs (G-force): G単位、G力
- Gs (gram-second): グラム秒
- Gs (general support): 一般支援
- Gs (group separator): グループ区切り記号
- Gs (German"
kelvins	ケルビン
centimeters	センチメートル
light years	光年
megabytes	メガバイト
nanometers	ナノメートル
hours	時間
Richter scale	リヒター・スケール
decibels	デシベル
billion miles	10億マイル | 100億マイル
minutes	分
cubic kilometers	立方キロメートル
quarts	クォート
metric tons	メートルトン
square miles	平方マイル
Celsius	摂氏
calories	カロリー
square kilometers	平方キロメートル
foldings	折りたたみ | 折り畳み | 折りたたみ式 | 折り畳み式
grams	グラム
galaxy	銀河 | ギャラクシー
liters per minute	リットル毎分
sheets	シート | 枚 | 薄板 | 紙片 | 一枚 | 一枚の紙 | 一枚のシート | 一枚の薄板 | 一枚の紙片
acre	エーカー
widgets	ウィジェット | 小部品 | デスクトップウィジェット | ガジェット | ツール
ounces	オンス
keys	鍵 | キー
times stronger than Earth's	地球の何倍も強い | 地球の何倍も強力な | 地球の何倍もパワフルな
kilogram	キログラム
square feet	平方フィート
minutes per mile	マイル毎分 (mairu-mai-fun)
miles per second	マイル毎秒
Pascals	パスカル
PSI	"PSI stands for ""pounds per square inch"". Here are some valid Japanese translations for PSI:

- ポンド毎平方インチ
- PSI (pronounced ""ピー・エス・アイ"")
- ポンド毎平方インチ圧力
- ポンド毎平方インチ換算
- ポンド毎平方インチ値"
tesla	テスラ
pascals	パスカル
meters by meters	メートル×メートル
milligrams	ミリグラム
kilograms meters per second	キログラムメートル毎秒
cylinders	シリンダー | 円筒 | 気筒
meter	メートル | メーター
mmHg	ミリメートル水銀柱
kg	キログラム
mAh	ミリアンペア時 (mirianpea-ji)
minutes per kilometer	キロメートル毎分 | 分毎キロメートル
hairs	髪の毛 | 毛髪 | 髪
battery	バッテリー | 電池 | 充電池 | 蓄電池
degrees	度
N	N (エヌ)
